=== RESUMEN DEL PROGRAMA ===
PROPIEDAD,VALOR_HEX,VALOR_DEC
NOMBRE_PROGRAMA,COPY,COPY
DIRECCION_INICIO,1000,4096
LONGITUD_PROGRAMA,0039,57
TOTAL_SIMBOLOS,,5
TOTAL_LINEAS,,12
TOTAL_ERRORES,,1

=== TABLA DE SIMBOLOS (TABSIM) ===
SIMBOLO,DIRECCION_HEX,DIRECCION_DEC
FIRST,1000,4096
ENDFIL,1012,4114
EOF,1015,4117
LENGTH,1018,4120
BUFFER,101B,4123

=== ARCHIVO INTERMEDIO ===
NL,CONTLOC_HEX,CONTLOC_DEC,ETQ,CODOP,OPR,FMT,MOD,ERR,COMENTARIO
1,1000,4096,COPY,START,1000,,-,,
2,1000,4096,FIRST,+JSUB,RDREC,4,Simple,,; Formato extendido 
3,1003,4099,,LDA,#3,3,Inmediato,,; Inmediato 
4,1006,4102,,COMP,LENGTH,3,Simple,,; Simple/directo
5,1009,4105,,JEQ,@ENDFIL,3,Indirecto,,; Indirecto
6,100C,4108,,STA,"BUFFER,X",3,Indexado,,; Indexado
7,100F,4111,,RSUB,,3,-,,
8,1012,4114,ENDFIL,LDA,EOF,3,Simple,,
9,1015,4117,EOF,BYTE,C'EOF',,-,,
10,1018,4120,LENGTH,WORD,3,,-,,
11,101B,4123,BUFFER,RESW,10,,-,,
12,1039,4153,,END,FIRST,,-,,

=== ERRORES DETECTADOS ===
LINEA,COLUMNA,TIPO,MENSAJE
0,0,Semantico,Símbolo no definido: 'RDREC'
