=== TABLA DE SIMBOLOS (TABSIM) ===
SIMBOLO,DIRECCION_HEX,DIRECCION_DEC
"LOOP","000E",14
"TABLE","0019",25
"TABLE2","0037",55

=== ARCHIVO INTERMEDIO ===
NL,CONTLOC_HEX,CONTLOC_DEC,ETQ,CODOP,OPR,FMT,MOD,COMENTARIO
1,"0000",0,"EJER1","START","0","","-",""
2,"0000",0,"","LDX","#5",3,"Inmediato",""
3,"0003",3,"","HIO","",1,"-",""
4,"0004",4,"","+LDB","#TABLE2",4,"Inmediato",""
5,"0007",7,"","STA","@COUNT",3,"Indirecto",""
6,"000A",10,"","CLEAR","A",2,"-",""
7,"000C",12,"","BASE","TABLE2","","-",""
8,"000C",12,"","ADDR","X,A",2,"-",""
9,"000E",14,"LOOP","ADD","TABLE,X",3,"Indexado",""
10,"0011",17,"","+STA","TOTAL",4,"Simple",""
11,"0014",20,"","RSUB","",3,"-",""
12,"0017",23,"","SHIFTL","X,2",2,"-",""
13,"0019",25,"TABLE","RESW","10","","-",""
14,"0037",55,"TABLE2","BYTE","C'TEST'","","-",""
15,"003B",59,"","WORD","16","","-",""
16,"003E",62,"","END","","","-",""
