=== TABLA DE SIMBOLOS (TABSIM) ===
SIMBOLO,DIRECCION_HEX,DIRECCION_DEC
"COPY","03E8",1000
"FIRST","03E8",1000
"CLOOP","03EB",1003
"ENDFIL","03FD",1021
"EOF","0414",1044
"THREE","0417",1047
"ZERO","041A",1050

=== ARCHIVO INTERMEDIO ===
NL,CONTLOC_HEX,CONTLOC_DEC,ETQ,CODOP,OPR,VALOR_SEM,FMT,MOD,ERR,COMENTARIO
1,"03E8",1000,"COPY","START","1000","03E8h","","'-","",""
2,"03E8",1000,"FIRST","STL","RETADR","",3,"Simple","",""
3,"03EB",1003,"CLOOP","JSUB","RDREC","",3,"Simple","",""
4,"03EE",1006,"","LDA","LENGTH","",3,"Simple","",""
5,"03F1",1009,"","COMP","ZERO","",3,"Simple","",""
6,"03F4",1012,"","JEQ","ENDFIL","",3,"Simple","",""
7,"03F7",1015,"","JSUB","WRREC","",3,"Simple","",""
8,"03FA",1018,"","J","CLOOP","",3,"Simple","",""
9,"03FD",1021,"ENDFIL","LDA","EOF","",3,"Simple","",""
10,"0400",1024,"","STA","BUFFER","",3,"Simple","",""
11,"0403",1027,"","BYTE","X'123'","","","'-","",""
12,"0405",1029,"","LDA","THREE","",3,"Simple","",""
13,"0408",1032,"","STA","LENGTH","",3,"Simple","",""
14,"040B",1035,"","JSUB","WRREC","",3,"Simple","",""
15,"040E",1038,"","LDL","RETADR","",3,"Simple","",""
16,"0411",1041,"","RSUB","","",3,"'-","",""
17,"0414",1044,"","BYTE","BYTE C'11'","","","'-","[Error de sintaxis] Instruccion o directiva no valida cerca de 'BYTE'. Verifique la sintaxis de la linea.",""
18,"0414",1044,"","BYTE","BYTE C'11'","","","'-","[Error de sintaxis] Instruccion o directiva no valida cerca de 'BYTE'. Verifique la sintaxis de la linea.",""
19,"0414",1044,"EOF","BYTE","C'EOF'","","","'-","",""
20,"0417",1047,"THREE","WORD","000003","","","'-","",""
21,"041A",1050,"ZERO","WORD","000000","","","'-","",""

=== RESUMEN DEL PASO 1 ===
PROPIEDAD,VALOR_HEX,VALOR_DEC,DESCRIPCION
"NOMBRE_PROGRAMA","COPY","COPY","Nombre del programa"
"DIR_INICIO","03E8",1000,"Dirección de inicio (operando de START)"
"CONTLOC_FINAL","041D",1053,"CONTLOC al llegar a END"
"LONGITUD_PROGRAMA","0000",0,"= CONTLOC_final(041Dh) - START(03E8h)"
"TOTAL_SIMBOLOS","",7,"Símbolos definidos en TABSIM"
"TOTAL_LINEAS","",21,"Líneas en archivo intermedio"
"TOTAL_ERRORES","",1,"Total de errores detectados"
