=== TABLA DE SIMBOLOS (TABSIM) ===
SIMBOLO,DIRECCION_HEX,DIRECCION_DEC
"EJER3","0000",0
"NUM","001E",30
"VALOR","0061",97
"OLADANY","0065",101
"TEMP","0095",149
"CAD","009B",155
"TABLA","00A1",161

=== ARCHIVO INTERMEDIO ===
NL,CONTLOC_HEX,CONTLOC_DEC,ETQ,CODOP,OPR,VALOR_SEM,FMT,MOD,ERR,COMENTARIO
1,"0000",0,"EJER3","START","0","0000h","","'-","",""
2,"0000",0,"","RESW","10","","","'-","",""
3,"001E",30,"NUM","WORD","64","","","'-","",""
4,"0021",33,"","RESB","64","","","'-","",""
5,"0061",97,"VALOR","WORD","16","","","'-","",""
6,"0064",100,"","HIO","","",1,"'-","",""
7,"0065",101,"OLADANY","CLEAR","X","",2,"'-","Etiqueta 'OLADANY' excede el maximo de 6 caracteres (longitud actual: 7). Las etiquetas deben tener entre 1 y 6 caracteres.",""
8,"0067",103,"","LDT","NUMERO","",3,"Simple","[Símbolo no definido] La etiqueta 'NUMERO' no está definida en TABSIM",""
9,"006A",106,"","RESW","10","","","'-","",""
10,"0088",136,"","BASE","110","110","","'-","",""
11,"0088",136,"","'+MUL","#INICIO","",4,"Inmediato","[Símbolo no definido] La etiqueta 'INICIO' no está definida en TABSIM",""
12,"008C",140,"","LDA","'@VALOR","",3,"Indirecto","",""
13,"008F",143,"","'+STA","#VALORES","",4,"Inmediato","[Símbolo no definido] La etiqueta 'VALORES' no está definida en TABSIM",""
14,"0093",147,"","MULR","X,A","",2,"'-","La instruccion 'MULR' requiere exactamente 2 registros (formato: REG1,REG2).",""
15,"0095",149,"TEMP","RESW","2","","","'-","",""
16,"009B",155,"CAD","BYTE","C'EJERC3'","","","'-","",""
17,"00A1",161,"TABLA","RESW","1004","","","'-","",""
18,"0C65",3173,"","LDCH","NUM","",3,"Simple","",""
19,"0C68",3176,"","'+JGT","100,X","",4,"Indexado","",""
20,"0C6C",3180,"","COMP","TEMP","",3,"Simple","",""
21,"0C6F",3183,"","RESB","1","","","'-","",""
22,"0C70",3184,"","BYTE","X'321'","","","'-","",""
23,"0C72",3186,"","RSUB","","",3,"'-","",""
24,"0C75",3189,"","END","","","","'-","",""

=== RESUMEN DEL PASO 1 ===
PROPIEDAD,VALOR_HEX,VALOR_DEC,DESCRIPCION
"NOMBRE_PROGRAMA","EJER3","EJER3","Nombre del programa"
"DIR_INICIO","0000",0,"Dirección de inicio (operando de START)"
"CONTLOC_FINAL","0C75",3189,"CONTLOC al llegar a END"
"LONGITUD_PROGRAMA","0C75",3189,"= CONTLOC_final(0C75h) - START(0000h)"
"TOTAL_SIMBOLOS","",7,"Símbolos definidos en TABSIM"
"TOTAL_LINEAS","",24,"Líneas en archivo intermedio"
"TOTAL_ERRORES","",5,"Total de errores detectados"
