=== PASO 2 - CODIGO OBJETO ===
NL,CONTLOC_HEX,CONTLOC_DEC,ETQ,CODOP,OPR,FMT,MOD,COD_OBJ,ERR_PASO1,ERR_PASO2,COMENTARIO
1,"0000",0,"EJER3","START","0","","'-","'----","","",""
2,"0000",0,"","RESW","10H","","'-","'----","","",""
3,"0030",48,"NUM","WORD","64","","'-","000040","","",""
4,"0033",51,"","RESB","64","","'-","'----","","",""
5,"0073",115,"VALOR","WORD","16H","","'-","000016","","",""
6,"0076",118,"","HIO","",1,"'-","F4","","",""
7,"0077",119,"INICIO","CLEAR","X",2,"'-","B410","","",""
8,"0079",121,"","LDT","NUMERO",3,"Simple","776FFF","","Error: Símbolo no encontrado en TABSIM",""
9,"007C",124,"","RESW","10","","'-","'----","","",""
10,"009A",154,"","BASE","TABLA","","'-","'----","","",""
11,"009A",154,"","'+MUL","#INICIO",4,"Inmediato","21100077*","","",""
12,"009E",158,"","LDA","'@VALOR",3,"Indirecto","022FD2","","",""
13,"00A1",161,"","'+STA","#VALORES",4,"Inmediato","0D7FFFFF","","Error: Símbolo no encontrado en TABSIM",""
14,"00A5",165,"","MULR","X,A",2,"'-","9810","","",""
15,"00A7",167,"TEMP","RESW","2","","'-","'----","","",""
16,"00AD",173,"CAD","BYTE","C'EJERC3'","","'-","454A45524333","","",""
17,"00B3",179,"TABLA","RESW","1004H","","'-","'----","","",""
18,"30BF",12479,"","LDCH","NUM",3,"Simple","536FFF","","Error: No relativo al CP/B",""
19,"30C2",12482,"","'+JGT","100H,X",4,"Indexado","37FFFFFF","","Error: Operando fuera de rango",""
20,"30C6",12486,"","COMP","TEMP",3,"Simple","2B6FFF","","Error: No relativo al CP/B",""
21,"30C9",12489,"","RESB","1","","'-","'----","","",""
22,"30CA",12490,"","BYTE","X'321'","","'-","321","","",""
23,"30CC",12492,"","RSUB","",3,"'-","4F0000","","",""
24,"30CF",12495,"","END","","","'-","'----","","",""

=== RESUMEN DEL PASO 2 ===
PROPIEDAD,VALOR
"NOMBRE_PROGRAMA","EJER3"
"DIR_INICIO","0000"
"LONGITUD_PROGRAMA","30CF"
"LINEAS_CON_CODIGO",15
"ERRORES_PASO2",5
