=== PASO 2 - CODIGO OBJETO ===
NL,CONTLOC_HEX,CONTLOC_DEC,ETQ,CODOP,OPR,FMT,MOD,COD_OBJ,ERR_PASO1,ERR_PASO2,COMENTARIO
1,"0000",0,"EJEMEXPRE","START","0H","","'-","'----","","",""
2,"0000",0,"INICIO","EQU","19*NUMERO","","'-","'----","Símbolo no definido o valor inválido: NUMERO","Símbolo no definido o valor inválido: NUMERO",""
3,"0000",0,"","WORD","4*(SALTO-ETIQ)+TAM","","'-","'----","[Error de sintaxis] Instruccion o directiva no valida cerca de '+'. Verifique la sintaxis de la linea.","[Error de sintaxis] Instruccion o directiva no valida cerca de '+'. Verifique la sintaxis de la linea.",""
4,"0000",0,"NUMERO","EQU","40","","'-","'----","","",""
5,"0000",0,"","RESW","6","","'-","'----","","",""
6,"0012",18,"ETIQ","CLEAR","T",2,"'-","B450","","",""
7,"0014",20,"TAM","EQU","*","","'-","'----","","",""
8,"0014",20,"VALOR","EQU","10*NUMERO","","'-","'----","","",""
9,"0014",20,"","RESB","12","","'-","'----","","",""
10,"0020",32,"","ADD","NUM,X",3,"Indexado","1BEFFF","","Error: Símbolo no encontrado en TABSIM",""
11,"0023",35,"","LDA","#(6*NUMERO-10)",3,"Inmediato","0100E6","","",""
12,"0026",38,"","ORG","l00H","","'-","'----","","",""
13,"0026",38,"SALTO","JLT","ETIQ",3,"Simple","3B2FE9","","",""
14,"0029",41,"","LDT","SALTO-16",3,"Simple","772FEA","","",""
15,"002C",44,"","RESW","12","","'-","'----","","",""
16,"0050",80,"COUNT","WORD","SALTO-(TAM-ETIQ)","","'-","000024*","","",""
17,"0053",83,"EXPR","EQU","(12*(COUNT-SALTO))-ETIQ","","'-","'----","No se permite restar un término relativo de uno absoluto","No se permite restar un término relativo de uno absoluto",""
18,"0053",83,"","WORD","(SALTO-TAM+1)/2","","'-","'----","[Error de sintaxis] Instruccion o directiva no valida cerca de '+'. Verifique la sintaxis de la linea.","[Error de sintaxis] Instruccion o directiva no valida cerca de '+'. Verifique la sintaxis de la linea.",""
19,"0053",83,"FINAL","'+STA","'@COUNT",4,"Indirecto","0E100050*","","",""
20,"0057",87,"","END","ETIQ","","'-","'----","","",""

=== RESUMEN DEL PASO 2 ===
PROPIEDAD,VALOR
"NOMBRE_PROGRAMA","EJEMEXPRE"
"DIR_INICIO","0000"
"LONGITUD_PROGRAMA","0057"
"LINEAS_CON_CODIGO",7
"ERRORES_PASO2",1
