=== PASO 2 - CODIGO OBJETO ===
NL,CONTLOC_HEX,CONTLOC_DEC,ETQ,CODOP,OPR,FMT,MOD,COD_OBJ,ERR_PASO1,ERR_PASO2,COMENTARIO
1,"0000",0,"EXPRESIONES","START","0H","","'-","'----","","",""
2,"0000",0,"TABLA","RESW","3","","'-","'----","","",""
3,"0009",9,"NUM","EQU","19","","'-","'----","","",""
4,"0009",9,"ETIQ","CLEAR","X",2,"'-","B410","","",""
5,"000B",11,"TAM","EQU","*","","'-","'----","","",""
6,"000B",11,"","TIX","NUM",3,"Simple","2F2005","","",""
7,"000E",14,"","LDA","#(ETIQ-TABLA+3)","","'-","'----","[Error de sintaxis] Instruccion o directiva no valida cerca de '+'. Verifique la sintaxis de la linea.","[Error de sintaxis] Instruccion o directiva no valida cerca de '+'. Verifique la sintaxis de la linea.",""
8,"000E",14,"SALTO","JLT","ETIQ",3,"Simple","3B2FF8","","",""
9,"0011",17,"","LDT","COUNT+4","","'-","'----","[Error de sintaxis] Instruccion o directiva no valida cerca de '+'. Verifique la sintaxis de la linea.","[Error de sintaxis] Instruccion o directiva no valida cerca de '+'. Verifique la sintaxis de la linea.",""
10,"0011",17,"COUNT","WORD","ETIQ-(TAM-TABLA)","","'-","FFFFFE*","","",""
11,"0014",20,"","WORD","2*(SALTO-TAM)","","'-","000006","","",""
12,"0017",23,"","END","SALTO","","'-","'----","","",""

=== RESUMEN DEL PASO 2 ===
PROPIEDAD,VALOR
"NOMBRE_PROGRAMA","EXPRESIONES"
"DIR_INICIO","0000"
"LONGITUD_PROGRAMA","0017"
"LINEAS_CON_CODIGO",5
"ERRORES_PASO2",0
